id|name
564|MOTARD RR 50 2T TRACK R MY20
565|ENDURO XTRAINER 250 2T MY21
566|ENDURO XTRAINER 300 2T MY21
567|ENDURO RR 125 4T R LC MY20
568|MOTARD RR 125 4T R LC MY20
569|ENDURO RR 250 2T MY21
570|ENDURO RR 300 2T MY21
571|ENDURO RR 200 2T MY21
572|ENDURO RR 350 4T MY21
573|ENDURO RR 390 4T MY21
574|ENDURO RR 430 4T MY21
575|ENDURO RR 480 4T MY21
576|ALP RED ALP 200 4T 2020
577|ALP WHITE ALP 200 4T 2020
578|ENDURO RR 125 2T MY21
579|ENDURO RR-S 350 4T MY21
580|ENDURO RR-S 390 4T MY21
581|ENDURO RR-S 430 4T MY21
582|ENDURO RR-S 500 4T MY21
583|TRIAL EVO 125 2T MY21
584|TRIAL EVO 200 2T MY21
585|TRIAL EVO 250 2T MY21
586|TRIAL EVO 250 2T MY21 GB
587|TRIAL EVO 300 2T MY21
588|TRIAL EVO 300 2T MY21 GB
589|TRIAL EVO 300 2T SS MY21
590|ENDURO XTRAINER 250 2T MY21 JP
591|ENDURO RR 125 2T RACING MY21
592|ENDURO RR 200 2T RACING MY21
593|ENDURO RR 250 2T RACING MY21
594|ENDURO RR 300 2T RACING MY21
595|ENDURO RX 300 2T MY21 USA
596|ENDURO RR 350 4T RACING MY21
597|ENDURO RR 390 4T RACING MY21
598|ENDURO RR 430 4T RACING MY21
599|ENDURO RR 480 4T RACING MY21
600|ENDURO RR 350 4T RACING MY21 USA-CAN
601|ENDURO RR 390 4T RACING MY21 USA-CAN
602|ENDURO RR 430 4T RACING MY21 USA-CAN
603|ENDURO RR 480 4T RACING MY21 USA-CAN
604|TRIAL EVO 300 4T MY21
605|TRIAL EVO 80 2T SENIOR MY21
606|TRIAL EVO 80 2T JUNIOR MY21
607|TRIAL EVO 125 2T FACTORY MY21
608|TRIAL EVO 250 2T FACTORY MY21
609|TRIAL EVO 250 2T FACTORY MY21 GB
610|TRIAL EVO 300 2T FACTORY MY21
611|TRIAL EVO 300 2T FACTORY MY21 GB
612|TRIAL EVO 200 2T FACTORY MY21
613|TRIAL EVO 300 4T FACTORY MY21
614|ENDURO WHITE RR 125 4T LC 2021
615|ENDURO BLACK RR 125 4T LC 2021
616|ENDURO RED RR 125 4T LC 2021
617|MOTARD WHITE RR 125 4T LC 2021
618|MOTARD BLACK RR 125 4T LC 2021
